优先级,优先原因,源文件,相对路径,SHA256,别名路径数,别名路径
P0,2025—2026年申报通知,/Volumes/知识库/_云端知识库/10_政策与目录/政策数据库/企策顾问/申报通知/宁波市/技术改造和未来工厂/2025-06-12__关于开展2025年度绿色工厂创建及绿色化改造认定工作的通知__bdb3cedec9fb4c449c5f4181a6c33c6b/附件/附件7：关于发布宁波市第二批绿色制造入库专家名单和入库第三方服务机构名录的通知.pdf,10_政策与目录/政策数据库/企策顾问/申报通知/宁波市/技术改造和未来工厂/2025-06-12__关于开展2025年度绿色工厂创建及绿色化改造认定工作的通知__bdb3cedec9fb4c449c5f4181a6c33c6b/附件/附件7：关于发布宁波市第二批绿色制造入库专家名单和入库第三方服务机构名录的通知.pdf,06a5e1b338f7514010867b4b7ac2e9a07bd9f03d487e9ccec0e8aea956540a0a,3,10_政策与目录/政策数据库/企策顾问/申报通知/宁波市/技术改造和未来工厂/2025-06-12__关于开展2025年度绿色工厂创建及绿色化改造认定工作的通知__bdb3cedec9fb4c449c5f4181a6c33c6b/附件/附件7：关于发布宁波市第二批绿色制造入库专家名单和入库第三方服务机构名录的通知.pdf | 10_政策与目录/政策数据库/企策顾问/申报通知/宁波市/技术改造和未来工厂/2025-12-16__关于开展2025年度第六批绿色工厂创建及第三批绿色化改造认定工作的通知__27262dd832d64a609c6738e74c2139c8/附件/附件7：关于发布宁波市第二批绿色制造入库专家名单和入库第三方服务机构名录的通知.pdf | 10_政策与目录/政策数据库/企策顾问/申报通知/宁波市/技术改造和未来工厂/2026-05-22__关于开展2026年度第二批绿色工厂创建及绿色化改造认定工作的通知__89d17b4cd7e14967b4b909255db61e49/附件/附件7：关于发布宁波市第二批绿色制造入库专家名单和入库第三方服务机构名录的通知.pdf
P0,2025—2026年申报通知,/Volumes/知识库/_云端知识库/10_政策与目录/政策数据库/企策顾问/申报通知/宁波市/技术改造和未来工厂/2025-10-11__关于开展2025年度国家级绿色工厂推荐工作的通知__c1a926a7d4a4491cb8d6efaa76d83d0b/附件/附件5：工业和信息化部办公厅关于开展2025年度绿色工厂推荐工作的通知.pdf,10_政策与目录/政策数据库/企策顾问/申报通知/宁波市/技术改造和未来工厂/2025-10-11__关于开展2025年度国家级绿色工厂推荐工作的通知__c1a926a7d4a4491cb8d6efaa76d83d0b/附件/附件5：工业和信息化部办公厅关于开展2025年度绿色工厂推荐工作的通知.pdf,8bce9e194d179e3f372f7166118957fa4f77a92d158c5b3861475de4c5cb208c,1,10_政策与目录/政策数据库/企策顾问/申报通知/宁波市/技术改造和未来工厂/2025-10-11__关于开展2025年度国家级绿色工厂推荐工作的通知__c1a926a7d4a4491cb8d6efaa76d83d0b/附件/附件5：工业和信息化部办公厅关于开展2025年度绿色工厂推荐工作的通知.pdf
P0,2025—2026年申报通知,/Volumes/知识库/_云端知识库/10_政策与目录/政策数据库/企策顾问/申报通知/宁波市/科技计划/2025-05-19__浙江省自然资源厅浙江省科学技术厅关于组织申报深地国家科技重大专项2025年度项目的通知__feee8ea721e1443a88e573be8c7810a8/附件/浙自然资厅函〔2025〕453 浙江省自然资源厅 浙江省科技厅关于组织申报深地国家科技重大专项的通知.pdf,10_政策与目录/政策数据库/企策顾问/申报通知/宁波市/科技计划/2025-05-19__浙江省自然资源厅浙江省科学技术厅关于组织申报深地国家科技重大专项2025年度项目的通知__feee8ea721e1443a88e573be8c7810a8/附件/浙自然资厅函〔2025〕453 浙江省自然资源厅 浙江省科技厅关于组织申报深地国家科技重大专项的通知.pdf,207966e4a8d609a80f8cb9165c0dbf853329c26892997ba3b09da72f2dc957b3,4,10_政策与目录/政策数据库/企策顾问/申报通知/宁波市/科技计划/2025-05-19__浙江省自然资源厅浙江省科学技术厅关于组织申报深地国家科技重大专项2025年度项目的通知__feee8ea721e1443a88e573be8c7810a8/附件/浙自然资厅函〔2025〕453 浙江省自然资源厅 浙江省科技厅关于组织申报深地国家科技重大专项的通知.pdf | 10_政策与目录/政策数据库/企策顾问/申报通知/杭州市/科技计划/2025-05-19__浙江省自然资源厅浙江省科学技术厅关于组织申报深地国家科技重大专项2025年度项目的通知__feee8ea721e1443a88e573be8c7810a8/附件/浙自然资厅函〔2025〕453 浙江省自然资源厅 浙江省科技厅关于组织申报深地国家科技重大专项的通知.pdf | 10_政策与目录/政策数据库/企策顾问/申报通知/绍兴市/科技计划/2025-05-19__浙江省自然资源厅浙江省科学技术厅关于组织申报深地国家科技重大专项2025年度项目的通知__feee8ea721e1443a88e573be8c7810a8/附件/浙自然资厅函〔2025〕453 浙江省自然资源厅 浙江省科技厅关于组织申报深地国家科技重大专项的通知.pdf | 10_政策与目录/政策数据库/企策顾问/申报通知/金华市/科技计划/2025-05-19__浙江省自然资源厅浙江省科学技术厅关于组织申报深地国家科技重大专项2025年度项目的通知__feee8ea721e1443a88e573be8c7810a8/附件/浙自然资厅函〔2025〕453 浙江省自然资源厅 浙江省科技厅关于组织申报深地国家科技重大专项的通知.pdf
P0,2025—2026年申报通知,/Volumes/知识库/_云端知识库/10_政策与目录/政策数据库/企策顾问/申报通知/宁波市/科技计划/2025-05-19__浙江省自然资源厅浙江省科学技术厅关于组织申报深地国家科技重大专项2025年度项目的通知__feee8ea721e1443a88e573be8c7810a8/附件/自然资源部关于发布深地国家科技重大专项2025年度公开项目申报指南的通知.pdf,10_政策与目录/政策数据库/企策顾问/申报通知/宁波市/科技计划/2025-05-19__浙江省自然资源厅浙江省科学技术厅关于组织申报深地国家科技重大专项2025年度项目的通知__feee8ea721e1443a88e573be8c7810a8/附件/自然资源部关于发布深地国家科技重大专项2025年度公开项目申报指南的通知.pdf,e19768fac8107d62a9daedf3723de1f30eaa54e4ad4796dd0082c04778131539,4,10_政策与目录/政策数据库/企策顾问/申报通知/宁波市/科技计划/2025-05-19__浙江省自然资源厅浙江省科学技术厅关于组织申报深地国家科技重大专项2025年度项目的通知__feee8ea721e1443a88e573be8c7810a8/附件/自然资源部关于发布深地国家科技重大专项2025年度公开项目申报指南的通知.pdf | 10_政策与目录/政策数据库/企策顾问/申报通知/杭州市/科技计划/2025-05-19__浙江省自然资源厅浙江省科学技术厅关于组织申报深地国家科技重大专项2025年度项目的通知__feee8ea721e1443a88e573be8c7810a8/附件/自然资源部关于发布深地国家科技重大专项2025年度公开项目申报指南的通知.pdf | 10_政策与目录/政策数据库/企策顾问/申报通知/绍兴市/科技计划/2025-05-19__浙江省自然资源厅浙江省科学技术厅关于组织申报深地国家科技重大专项2025年度项目的通知__feee8ea721e1443a88e573be8c7810a8/附件/自然资源部关于发布深地国家科技重大专项2025年度公开项目申报指南的通知.pdf | 10_政策与目录/政策数据库/企策顾问/申报通知/金华市/科技计划/2025-05-19__浙江省自然资源厅浙江省科学技术厅关于组织申报深地国家科技重大专项2025年度项目的通知__feee8ea721e1443a88e573be8c7810a8/附件/自然资源部关于发布深地国家科技重大专项2025年度公开项目申报指南的通知.pdf
P0,2025—2026年申报通知,/Volumes/知识库/_云端知识库/10_政策与目录/政策数据库/企策顾问/申报通知/宁波市/综合政策/2025-02-05__关于开展宁波市万兆光网试点申报工作的通知__b6d42d07b4f3450c844fc25e7160b539/附件/附件1：工业和信息化部办公厅关于开展万兆光网试点工作的通知.pdf,10_政策与目录/政策数据库/企策顾问/申报通知/宁波市/综合政策/2025-02-05__关于开展宁波市万兆光网试点申报工作的通知__b6d42d07b4f3450c844fc25e7160b539/附件/附件1：工业和信息化部办公厅关于开展万兆光网试点工作的通知.pdf,4f9241aa5a74d79eca093b3e621e4a231f7423b8ea932da3ddebef821c3ae404,1,10_政策与目录/政策数据库/企策顾问/申报通知/宁波市/综合政策/2025-02-05__关于开展宁波市万兆光网试点申报工作的通知__b6d42d07b4f3450c844fc25e7160b539/附件/附件1：工业和信息化部办公厅关于开展万兆光网试点工作的通知.pdf
P0,2025—2026年申报通知,/Volumes/知识库/_云端知识库/10_政策与目录/政策数据库/企策顾问/申报通知/宁波市/综合政策/2025-03-05__关于组织开展2025年县域充换电设施补短板试点申报工作的通知__d9145f65ecaf4e8394658b7dff7a9d9d/附件/附件1：财政部 工业和信息化部 交通运输部关于开展县域充换电设施补短板试点工作的通知.pdf,10_政策与目录/政策数据库/企策顾问/申报通知/宁波市/综合政策/2025-03-05__关于组织开展2025年县域充换电设施补短板试点申报工作的通知__d9145f65ecaf4e8394658b7dff7a9d9d/附件/附件1：财政部 工业和信息化部 交通运输部关于开展县域充换电设施补短板试点工作的通知.pdf,5da6a51823dd11511e05bcf860f2a2d58eac25fd2cf357e83e6f9b30f18f74e0,3,10_政策与目录/政策数据库/企策顾问/申报通知/宁波市/综合政策/2025-03-05__关于组织开展2025年县域充换电设施补短板试点申报工作的通知__d9145f65ecaf4e8394658b7dff7a9d9d/附件/附件1：财政部 工业和信息化部 交通运输部关于开展县域充换电设施补短板试点工作的通知.pdf | 10_政策与目录/政策数据库/企策顾问/申报通知/绍兴市/综合政策/2025-03-05__关于组织开展2025年县域充换电设施补短板试点申报工作的通知__d9145f65ecaf4e8394658b7dff7a9d9d/附件/附件1：财政部 工业和信息化部 交通运输部关于开展县域充换电设施补短板试点工作的通知.pdf | 10_政策与目录/政策数据库/企策顾问/申报通知/金华市/综合政策/2025-03-05__关于组织开展2025年县域充换电设施补短板试点申报工作的通知__d9145f65ecaf4e8394658b7dff7a9d9d/附件/附件1：财政部 工业和信息化部 交通运输部关于开展县域充换电设施补短板试点工作的通知.pdf
P0,2025—2026年申报通知,/Volumes/知识库/_云端知识库/10_政策与目录/政策数据库/企策顾问/申报通知/宁波市/综合政策/2025-03-12__浙江省哲学社会科学规划部门合作专项研究课题（应急管理政策研究）开始申报__d3091d11e0c1493faea89e41eab653f1/附件/关于做好2025年度浙江省哲学社会科学规划部门合作专项研究课题申报工作的通知.pdf,10_政策与目录/政策数据库/企策顾问/申报通知/宁波市/综合政策/2025-03-12__浙江省哲学社会科学规划部门合作专项研究课题（应急管理政策研究）开始申报__d3091d11e0c1493faea89e41eab653f1/附件/关于做好2025年度浙江省哲学社会科学规划部门合作专项研究课题申报工作的通知.pdf,1d53f3e80124bf6969bde855756e09191abb6561bd2228c15c476dc481bb6863,3,10_政策与目录/政策数据库/企策顾问/申报通知/宁波市/综合政策/2025-03-12__浙江省哲学社会科学规划部门合作专项研究课题（应急管理政策研究）开始申报__d3091d11e0c1493faea89e41eab653f1/附件/关于做好2025年度浙江省哲学社会科学规划部门合作专项研究课题申报工作的通知.pdf | 10_政策与目录/政策数据库/企策顾问/申报通知/绍兴市/综合政策/2025-03-12__浙江省哲学社会科学规划部门合作专项研究课题（应急管理政策研究）开始申报__d3091d11e0c1493faea89e41eab653f1/附件/关于做好2025年度浙江省哲学社会科学规划部门合作专项研究课题申报工作的通知.pdf | 10_政策与目录/政策数据库/企策顾问/申报通知/金华市/综合政策/2025-03-12__浙江省哲学社会科学规划部门合作专项研究课题（应急管理政策研究）开始申报__d3091d11e0c1493faea89e41eab653f1/附件/关于做好2025年度浙江省哲学社会科学规划部门合作专项研究课题申报工作的通知.pdf
P0,2025—2026年申报通知,/Volumes/知识库/_云端知识库/10_政策与目录/政策数据库/企策顾问/申报通知/宁波市/综合政策/2025-03-21__关于开展2025年印染行业规范企业公告申报工作的通知__9bbee4466a3a43c09c5f4e19f24d737e/附件/1.工业和信息化部办公厅关于开展2025年印染行业规范企业公告申报工作的通知.pdf,10_政策与目录/政策数据库/企策顾问/申报通知/宁波市/综合政策/2025-03-21__关于开展2025年印染行业规范企业公告申报工作的通知__9bbee4466a3a43c09c5f4e19f24d737e/附件/1.工业和信息化部办公厅关于开展2025年印染行业规范企业公告申报工作的通知.pdf,da1b410e559b2723bda8a85f471de96eefc8ef719067b3bd06a0a85edc668b4a,3,10_政策与目录/政策数据库/企策顾问/申报通知/宁波市/综合政策/2025-03-21__关于开展2025年印染行业规范企业公告申报工作的通知__9bbee4466a3a43c09c5f4e19f24d737e/附件/1.工业和信息化部办公厅关于开展2025年印染行业规范企业公告申报工作的通知.pdf | 10_政策与目录/政策数据库/企策顾问/申报通知/绍兴市/综合政策/2025-03-21__关于开展2025年印染行业规范企业公告申报工作的通知__9bbee4466a3a43c09c5f4e19f24d737e/附件/1.工业和信息化部办公厅关于开展2025年印染行业规范企业公告申报工作的通知.pdf | 10_政策与目录/政策数据库/企策顾问/申报通知/金华市/综合政策/2025-03-21__关于开展2025年印染行业规范企业公告申报工作的通知__9bbee4466a3a43c09c5f4e19f24d737e/附件/1.工业和信息化部办公厅关于开展2025年印染行业规范企业公告申报工作的通知.pdf
P0,2025—2026年申报通知,/Volumes/知识库/_云端知识库/10_政策与目录/政策数据库/企策顾问/申报通知/宁波市/综合政策/2025-03-21__关于组织申报2025年度中外中小企业合作区的通知__9585cc5e2e9e4d9892a356735b930f88/附件/附件2：中外中小企业合作区管理暂行办法.pdf,10_政策与目录/政策数据库/企策顾问/申报通知/宁波市/综合政策/2025-03-21__关于组织申报2025年度中外中小企业合作区的通知__9585cc5e2e9e4d9892a356735b930f88/附件/附件2：中外中小企业合作区管理暂行办法.pdf,a687037ce39f295b18b9b1f6398c0a3f4e7b0581c7c6149c9720ecb515a684b1,1,10_政策与目录/政策数据库/企策顾问/申报通知/宁波市/综合政策/2025-03-21__关于组织申报2025年度中外中小企业合作区的通知__9585cc5e2e9e4d9892a356735b930f88/附件/附件2：中外中小企业合作区管理暂行办法.pdf
P0,2025—2026年申报通知,/Volumes/知识库/_云端知识库/10_政策与目录/政策数据库/企策顾问/申报通知/宁波市/综合政策/2025-03-28__关于征集知识产权服务专员和知识产权特派员的通知__f97630575061407faca89485149091b8/附件/附件1：浙江省质量标准与知识产权强省工作领导小组办公室印发《关于建立知识产权服务专员机制助力创新浙江建设的实施方案》等文件的通知.pdf,10_政策与目录/政策数据库/企策顾问/申报通知/宁波市/综合政策/2025-03-28__关于征集知识产权服务专员和知识产权特派员的通知__f97630575061407faca89485149091b8/附件/附件1：浙江省质量标准与知识产权强省工作领导小组办公室印发《关于建立知识产权服务专员机制助力创新浙江建设的实施方案》等文件的通知.pdf,b87be165a8091226e0ce67e72f151a6ad34c0419719e101ca5c411741c78c60c,10,10_政策与目录/政策数据库/企策顾问/申报通知/宁波市/综合政策/2025-03-28__关于征集知识产权服务专员和知识产权特派员的通知__f97630575061407faca89485149091b8/附件/附件1：浙江省质量标准与知识产权强省工作领导小组办公室印发《关于建立知识产权服务专员机制助力创新浙江建设的实施方案》等文件的通知.pdf | 10_政策与目录/政策数据库/企策顾问/申报通知/宁波市/综合政策/2025-03-31__浙江省质量标准和知识产权强省工作领导小组办公室关于征集知识产权服务专员和知识产权特派员的通知__20afc0d2cac54213be2825f581ca12cc/附件/附件1：浙江省质量标准与知识产权强省工作领导小组办公室印发《关于建立知识产权服务专员机制助力创新浙江建设的实施方案》等文件的通知.pdf | 10_政策与目录/政策数据库/企策顾问/申报通知/宁波市/综合政策/2026-05-15__浙江省质量标准和知识产权强省工作领导小组办公室关于征集第二批知识产权服务专员及服务对象的通知__9c8e75edde064f768f0dac18cb04ca29/附件/附件1：浙江省质量标准和知识产权强省工作领导小组办公室印发《关于建立知识产权服务专员机制助力创新浙江建设的实施方案》等文件的通知.pdf | 10_政策与目录/政策数据库/企策顾问/申报通知/杭州市/综合政策/2026-05-15__浙江省质量标准和知识产权强省工作领导小组办公室关于征集第二批知识产权服务专员及服务对象的通知__9c8e75edde064f768f0dac18cb04ca29/附件/附件1：浙江省质量标准和知识产权强省工作领导小组办公室印发《关于建立知识产权服务专员机制助力创新浙江建设的实施方案》等文件的通知.pdf | 10_政策与目录/政策数据库/企策顾问/申报通知/绍兴市/综合政策/2025-03-28__关于征集知识产权服务专员和知识产权特派员的通知__f97630575061407faca89485149091b8/附件/附件1：浙江省质量标准与知识产权强省工作领导小组办公室印发《关于建立知识产权服务专员机制助力创新浙江建设的实施方案》等文件的通知.pdf | 10_政策与目录/政策数据库/企策顾问/申报通知/绍兴市/综合政策/2025-03-31__浙江省质量标准和知识产权强省工作领导小组办公室关于征集知识产权服务专员和知识产权特派员的通知__20afc0d2cac54213be2825f581ca12cc/附件/附件1：浙江省质量标准与知识产权强省工作领导小组办公室印发《关于建立知识产权服务专员机制助力创新浙江建设的实施方案》等文件的通知.pdf | 10_政策与目录/政策数据库/企策顾问/申报通知/绍兴市/综合政策/2026-05-15__浙江省质量标准和知识产权强省工作领导小组办公室关于征集第二批知识产权服务专员及服务对象的通知__9c8e75edde064f768f0dac18cb04ca29/附件/附件1：浙江省质量标准和知识产权强省工作领导小组办公室印发《关于建立知识产权服务专员机制助力创新浙江建设的实施方案》等文件的通知.pdf | 10_政策与目录/政策数据库/企策顾问/申报通知/金华市/综合政策/2025-03-28__关于征集知识产权服务专员和知识产权特派员的通知__f97630575061407faca89485149091b8/附件/附件1：浙江省质量标准与知识产权强省工作领导小组办公室印发《关于建立知识产权服务专员机制助力创新浙江建设的实施方案》等文件的通知.pdf | 10_政策与目录/政策数据库/企策顾问/申报通知/金华市/综合政策/2025-03-31__浙江省质量标准和知识产权强省工作领导小组办公室关于征集知识产权服务专员和知识产权特派员的通知__20afc0d2cac54213be2825f581ca12cc/附件/附件1：浙江省质量标准与知识产权强省工作领导小组办公室印发《关于建立知识产权服务专员机制助力创新浙江建设的实施方案》等文件的通知.pdf | 10_政策与目录/政策数据库/企策顾问/申报通知/金华市/综合政策/2026-05-15__浙江省质量标准和知识产权强省工作领导小组办公室关于征集第二批知识产权服务专员及服务对象的通知__9c8e75edde064f768f0dac18cb04ca29/附件/附件1：浙江省质量标准和知识产权强省工作领导小组办公室印发《关于建立知识产权服务专员机制助力创新浙江建设的实施方案》等文件的通知.pdf
P0,2025—2026年申报通知,/Volumes/知识库/_云端知识库/10_政策与目录/政策数据库/企策顾问/申报通知/宁波市/综合政策/2025-03-28__关于组织申报2025年度中小企业特色产业集群的通知__229b1a7e62174587b4cf729c71c1f83f/附件/附件5：促进中小企业特色产业集群发展暂行办法.pdf,10_政策与目录/政策数据库/企策顾问/申报通知/宁波市/综合政策/2025-03-28__关于组织申报2025年度中小企业特色产业集群的通知__229b1a7e62174587b4cf729c71c1f83f/附件/附件5：促进中小企业特色产业集群发展暂行办法.pdf,c61caf580459fd0f7d1912179ad988c0885dbc7be79cb3fa75b2586a075275f0,2,10_政策与目录/政策数据库/企策顾问/申报通知/宁波市/综合政策/2025-03-28__关于组织申报2025年度中小企业特色产业集群的通知__229b1a7e62174587b4cf729c71c1f83f/附件/附件5：促进中小企业特色产业集群发展暂行办法.pdf | 10_政策与目录/政策数据库/企策顾问/申报通知/宁波市/综合政策/2025-04-01__2025年度中小企业特色产业集群开始申报__5d98c00515d64e6ab0cc908c1a905cf2/附件/附件5：促进中小企业特色产业集群发展暂行办法.pdf
P0,2025—2026年申报通知,/Volumes/知识库/_云端知识库/10_政策与目录/政策数据库/企策顾问/申报通知/宁波市/综合政策/2025-03-28__关于组织申报2025年度中小企业特色产业集群的通知__229b1a7e62174587b4cf729c71c1f83f/附件/附件6：工业和信息化部办公厅关于组织开展2025年度中小企业特色产业集群推荐和2022年度中小企业特色产业集群复核工作的通知.pdf,10_政策与目录/政策数据库/企策顾问/申报通知/宁波市/综合政策/2025-03-28__关于组织申报2025年度中小企业特色产业集群的通知__229b1a7e62174587b4cf729c71c1f83f/附件/附件6：工业和信息化部办公厅关于组织开展2025年度中小企业特色产业集群推荐和2022年度中小企业特色产业集群复核工作的通知.pdf,68e10dbabf9775099032eb3833020d6313771587de1930e793aff522a4a29e50,2,10_政策与目录/政策数据库/企策顾问/申报通知/宁波市/综合政策/2025-03-28__关于组织申报2025年度中小企业特色产业集群的通知__229b1a7e62174587b4cf729c71c1f83f/附件/附件6：工业和信息化部办公厅关于组织开展2025年度中小企业特色产业集群推荐和2022年度中小企业特色产业集群复核工作的通知.pdf | 10_政策与目录/政策数据库/企策顾问/申报通知/宁波市/综合政策/2025-04-01__2025年度中小企业特色产业集群开始申报__5d98c00515d64e6ab0cc908c1a905cf2/附件/附件6：工业和信息化部办公厅关于组织开展2025年度中小企业特色产业集群推荐和2022年度中小企业特色产业集群复核工作的通知.pdf
P0,2025—2026年申报通知,/Volumes/知识库/_云端知识库/10_政策与目录/政策数据库/企策顾问/申报通知/宁波市/综合政策/2025-05-21__关于组织开展2025年度宁波市级医药储备承储单位申报工作的通知__00e509de3aa24eb993bd2d03adbf98b4/附件/[附件下载].pdf,10_政策与目录/政策数据库/企策顾问/申报通知/宁波市/综合政策/2025-05-21__关于组织开展2025年度宁波市级医药储备承储单位申报工作的通知__00e509de3aa24eb993bd2d03adbf98b4/附件/[附件下载].pdf,8a853b774b1e98746a65df7afa55578e4c4efff38b0657d040711823ef292838,1,10_政策与目录/政策数据库/企策顾问/申报通知/宁波市/综合政策/2025-05-21__关于组织开展2025年度宁波市级医药储备承储单位申报工作的通知__00e509de3aa24eb993bd2d03adbf98b4/附件/[附件下载].pdf
P0,2025—2026年申报通知,/Volumes/知识库/_云端知识库/10_政策与目录/政策数据库/企策顾问/申报通知/宁波市/综合政策/2025-05-27__转发宁波市科技局关于落实好2025年“创新积分制”企业信息征集工作的通知__806f5a55f6084f5baf944ae150cca95a/附件/附件1.科技部办公厅关于做好2025年“创新积分制”企业信息征集工作的通知.pdf,10_政策与目录/政策数据库/企策顾问/申报通知/宁波市/综合政策/2025-05-27__转发宁波市科技局关于落实好2025年“创新积分制”企业信息征集工作的通知__806f5a55f6084f5baf944ae150cca95a/附件/附件1.科技部办公厅关于做好2025年“创新积分制”企业信息征集工作的通知.pdf,855a7fc7b4807609a0923c9887b26c1b5d70aa2958c6129efc4d99458979ed55,1,10_政策与目录/政策数据库/企策顾问/申报通知/宁波市/综合政策/2025-05-27__转发宁波市科技局关于落实好2025年“创新积分制”企业信息征集工作的通知__806f5a55f6084f5baf944ae150cca95a/附件/附件1.科技部办公厅关于做好2025年“创新积分制”企业信息征集工作的通知.pdf
P0,2025—2026年申报通知,/Volumes/知识库/_云端知识库/10_政策与目录/政策数据库/企策顾问/申报通知/宁波市/综合政策/2025-06-10__关于开展第二批工业机器人行业规范公告申报工作的通知__a82037af984143dfbd8c5a9eabf0a399/附件/工业和信息化部办公厅关于开展第二批工业机器人行业规范公告申报工作的通知.pdf,10_政策与目录/政策数据库/企策顾问/申报通知/宁波市/综合政策/2025-06-10__关于开展第二批工业机器人行业规范公告申报工作的通知__a82037af984143dfbd8c5a9eabf0a399/附件/工业和信息化部办公厅关于开展第二批工业机器人行业规范公告申报工作的通知.pdf,a284152aa49d0f7b5009c53693bccae67bed10791c23b4608ededaa0e3c23e5e,4,10_政策与目录/政策数据库/企策顾问/申报通知/宁波市/综合政策/2025-06-10__关于开展第二批工业机器人行业规范公告申报工作的通知__a82037af984143dfbd8c5a9eabf0a399/附件/工业和信息化部办公厅关于开展第二批工业机器人行业规范公告申报工作的通知.pdf | 10_政策与目录/政策数据库/企策顾问/申报通知/杭州市/综合政策/2025-06-10__关于开展第二批工业机器人行业规范公告申报工作的通知__a82037af984143dfbd8c5a9eabf0a399/附件/工业和信息化部办公厅关于开展第二批工业机器人行业规范公告申报工作的通知.pdf | 10_政策与目录/政策数据库/企策顾问/申报通知/绍兴市/综合政策/2025-06-10__关于开展第二批工业机器人行业规范公告申报工作的通知__a82037af984143dfbd8c5a9eabf0a399/附件/工业和信息化部办公厅关于开展第二批工业机器人行业规范公告申报工作的通知.pdf | 10_政策与目录/政策数据库/企策顾问/申报通知/金华市/综合政策/2025-06-10__关于开展第二批工业机器人行业规范公告申报工作的通知__a82037af984143dfbd8c5a9eabf0a399/附件/工业和信息化部办公厅关于开展第二批工业机器人行业规范公告申报工作的通知.pdf
P0,2025—2026年申报通知,/Volumes/知识库/_云端知识库/10_政策与目录/政策数据库/企策顾问/申报通知/宁波市/综合政策/2025-07-21__转发工业和信息化部办公厅关于开展2025年度十大类纺织创新精品建设推广工作的通知__c445025428494b9fa742f363a7cbb3d6/附件/2025年度十大类纺织创新精品建设推广工作网上申报流程说明.pdf,10_政策与目录/政策数据库/企策顾问/申报通知/宁波市/综合政策/2025-07-21__转发工业和信息化部办公厅关于开展2025年度十大类纺织创新精品建设推广工作的通知__c445025428494b9fa742f363a7cbb3d6/附件/2025年度十大类纺织创新精品建设推广工作网上申报流程说明.pdf,2ae2f57bfadaa1d2f6b0064206b8206e94fb8110903f0c3e254e1a7242a03916,4,10_政策与目录/政策数据库/企策顾问/申报通知/宁波市/综合政策/2025-07-21__转发工业和信息化部办公厅关于开展2025年度十大类纺织创新精品建设推广工作的通知__c445025428494b9fa742f363a7cbb3d6/附件/2025年度十大类纺织创新精品建设推广工作网上申报流程说明.pdf | 10_政策与目录/政策数据库/企策顾问/申报通知/杭州市/综合政策/2025-07-21__转发工业和信息化部办公厅关于开展2025年度十大类纺织创新精品建设推广工作的通知__c445025428494b9fa742f363a7cbb3d6/附件/2025年度十大类纺织创新精品建设推广工作网上申报流程说明.pdf | 10_政策与目录/政策数据库/企策顾问/申报通知/绍兴市/综合政策/2025-07-21__转发工业和信息化部办公厅关于开展2025年度十大类纺织创新精品建设推广工作的通知__c445025428494b9fa742f363a7cbb3d6/附件/2025年度十大类纺织创新精品建设推广工作网上申报流程说明.pdf | 10_政策与目录/政策数据库/企策顾问/申报通知/金华市/综合政策/2025-07-21__转发工业和信息化部办公厅关于开展2025年度十大类纺织创新精品建设推广工作的通知__c445025428494b9fa742f363a7cbb3d6/附件/2025年度十大类纺织创新精品建设推广工作网上申报流程说明.pdf
P0,2025—2026年申报通知,/Volumes/知识库/_云端知识库/10_政策与目录/政策数据库/企策顾问/申报通知/宁波市/综合政策/2025-07-29__关于组织开展2025年宁波市“瞪羚之星”企业申报的通知__62049b077df748a78a61337f1968333d/附件/附件4关于印发《宁波市“瞪羚之星”企业认定管理办法》的通知.pdf,10_政策与目录/政策数据库/企策顾问/申报通知/宁波市/综合政策/2025-07-29__关于组织开展2025年宁波市“瞪羚之星”企业申报的通知__62049b077df748a78a61337f1968333d/附件/附件4关于印发《宁波市“瞪羚之星”企业认定管理办法》的通知.pdf,8932ab6069548a493801bafc473505e5a5ebaa3587b3afdbe0e7124a348d3645,1,10_政策与目录/政策数据库/企策顾问/申报通知/宁波市/综合政策/2025-07-29__关于组织开展2025年宁波市“瞪羚之星”企业申报的通知__62049b077df748a78a61337f1968333d/附件/附件4关于印发《宁波市“瞪羚之星”企业认定管理办法》的通知.pdf
P0,2025—2026年申报通知,/Volumes/知识库/_云端知识库/10_政策与目录/政策数据库/企策顾问/申报通知/宁波市/综合政策/2025-10-21__关于开展2025年度人形机器人产业政策申报的通知__3d8aa1d268e5444aaae3c1997d267a09/附件/[附件下载].pdf,10_政策与目录/政策数据库/企策顾问/申报通知/宁波市/综合政策/2025-10-21__关于开展2025年度人形机器人产业政策申报的通知__3d8aa1d268e5444aaae3c1997d267a09/附件/[附件下载].pdf,ac6499aad9b9d54165925fdddc063c164ac9ff3fbaebc65227a0636dba02a9f1,1,10_政策与目录/政策数据库/企策顾问/申报通知/宁波市/综合政策/2025-10-21__关于开展2025年度人形机器人产业政策申报的通知__3d8aa1d268e5444aaae3c1997d267a09/附件/[附件下载].pdf
