skill,source_file,bytes,source_sha256,decision,target,target_sha256,reason
patent-disclosure-skill,prompts/project_scan.md,4332,3cb3fb46ad4ba04bfc9c75f8192c3e4e4047dde9e628be338e693d0372d38f9c,TRASH,,,交底流程及脚本与现行P2重复且版本更旧，或属于安装/说明冗余
patent-disclosure-skill,prompts/template_reference.md,8985,9acd02dddd7bbce80964828e8c2c5878697125a1cac90ab3f74dc7adcc30826e,TRASH,,,交底流程及脚本与现行P2重复且版本更旧，或属于安装/说明冗余
patent-disclosure-skill,references/ipc_application_hints.yaml,3730,db68d8a9de77d218d01af10e76dedb9fe379a3fc31f775a61814c90fc2470109,MERGED_COPY,components/patent-lawyer-agent/toolkits/patent-reader/references/ipc_application_hints.yaml,db68d8a9de77d218d01af10e76dedb9fe379a3fc31f775a61814c90fc2470109,专利解读工具包运行依赖
patent-disclosure-skill,references/patent_domain_rules.yaml,1081,a188bfb733556ca5a73afd517d0682904b90355416c4d60ccbde301354b300e2,MERGED_COPY,components/patent-lawyer-agent/toolkits/patent-reader/references/patent_domain_rules.yaml,a188bfb733556ca5a73afd517d0682904b90355416c4d60ccbde301354b300e2,专利解读工具包运行依赖
patent-disclosure-skill,references/patent_obsidian_format.md,8233,e3a38e8ba531f3cfa460181a3c4f0e214bf6ccab51b99e59fbb0f83d4e5a4786,MERGED_COPY,components/patent-lawyer-agent/toolkits/patent-reader/references/patent_obsidian_format.md,e3a38e8ba531f3cfa460181a3c4f0e214bf6ccab51b99e59fbb0f83d4e5a4786,专利解读工具包运行依赖
patent-disclosure-skill,references/patent_pdf_sources.yaml,2716,0b07c18c8f79854874bf8683fc56facde19a1bdf58183c5bca8d5e3187dd4332,MERGED_COPY,components/patent-lawyer-agent/toolkits/patent-reader/references/patent_pdf_sources.yaml,0b07c18c8f79854874bf8683fc56facde19a1bdf58183c5bca8d5e3187dd4332,专利解读工具包运行依赖
patent-disclosure-skill,requirements.txt,494,d39d72a4c80b7c0f05e9febbb44ae477341b84a935f4c05c1743ccccf04cd564,TRASH,,,交底流程及脚本与现行P2重复且版本更旧，或属于安装/说明冗余
patent-disclosure-skill,tools/README.md,15797,768c194a1e341badce3fdf69d8f7968b1a3af7afce2a1884b53a4683f5a8c704,TRASH,,,交底流程及脚本与现行P2重复且版本更旧，或属于安装/说明冗余
patent-disclosure-skill,tools/cnipa_epub_crawler.py,11991,7d8cd6e3e9366ab980c3b7e665242e99d2f7c7bf82f72b275c9b4e83add68506,TRASH,,,交底流程及脚本与现行P2重复且版本更旧，或属于安装/说明冗余
patent-disclosure-skill,tools/cnipa_epub_parse.py,9086,672124d2428b809bd9ebe4103b7ea86084442ac0a396bf509a0b1772e5d6ee3a,TRASH,,,交底流程及脚本与现行P2重复且版本更旧，或属于安装/说明冗余
patent-disclosure-skill,tools/cnipa_epub_search.py,5954,09bf37ddc6b8dc73b25ef43f9ffd249ee53e1dbf07ae4be99033c9fb5dbbc8b7,TRASH,,,交底流程及脚本与现行P2重复且版本更旧，或属于安装/说明冗余
patent-disclosure-skill,tools/docx_to_md.py,3956,d87bcfcfc71c734d5a01095d5f3c3d4c4e7cef729173fe8d72da66fda03bc693,TRASH,,,交底流程及脚本与现行P2重复且版本更旧，或属于安装/说明冗余
patent-disclosure-skill,tools/iteration_dialog_log.py,3341,bed725af43fed1480f52b8856c1b341fb97db6314ac0193d6e84e35f0c4642dc,TRASH,,,交底流程及脚本与现行P2重复且版本更旧，或属于安装/说明冗余
patent-disclosure-skill,tools/math_render.py,13300,7dae72c0673d3e1abc1959803f19193630655246f9eda23cf8d4f788b836430c,TRASH,,,交底流程及脚本与现行P2重复且版本更旧，或属于安装/说明冗余
patent-disclosure-skill,tools/md_to_docx.py,33812,0b3b13852c93215c3823dd3395841ef0cd7809b51f22823952ad6030073ffeb0,TRASH,,,交底流程及脚本与现行P2重复且版本更旧，或属于安装/说明冗余
patent-disclosure-skill,tools/mermaid_render.py,16636,ffeb50461fbfd05683785705c681b38abfe42bf56fbd448f439eee9cf3ce7b78,TRASH,,,交底流程及脚本与现行P2重复且版本更旧，或属于安装/说明冗余
patent-disclosure-skill,tools/package-lock.json,90165,f92eb074d747a32c560fb1020c29119868c4ae213ddba0e4e962f0516c2b50ab,TRASH,,,交底流程及脚本与现行P2重复且版本更旧，或属于安装/说明冗余
patent-disclosure-skill,tools/package.json,278,91b865046171a0c799aeb546633e920a74e22de891e7d6e73811883d9b1399ae,TRASH,,,交底流程及脚本与现行P2重复且版本更旧，或属于安装/说明冗余
patent-disclosure-skill,tools/patent_reader/README.md,3715,abeb8b35041aa07312e405857388dc8173d5bc882136f9eca749efdd9db4ec4d,MERGED_RENAMED,components/patent-lawyer-agent/toolkits/patent-reader/references/tool-guide.md,abeb8b35041aa07312e405857388dc8173d5bc882136f9eca749efdd9db4ec4d,专利通俗解读工具说明并入P1工具包
patent-disclosure-skill,tools/patent_reader/__init__.py,64,4538b3bae00e66a53224dd4a9620dd8ec184e58d5807ed4cadca4eb3a90d0f12,MERGED_COPY,components/patent-lawyer-agent/toolkits/patent-reader/tools/patent_reader/__init__.py,4538b3bae00e66a53224dd4a9620dd8ec184e58d5807ed4cadca4eb3a90d0f12,专利通俗解读/Obsidian工具包的运行资产
patent-disclosure-skill,tools/patent_reader/build_claim_mermaid.py,1351,e6a59a451b9bf6dc02c559afb0d141063a1fd31ecd504c9f1cff3119381e31c9,MERGED_COPY,components/patent-lawyer-agent/toolkits/patent-reader/tools/patent_reader/build_claim_mermaid.py,e6a59a451b9bf6dc02c559afb0d141063a1fd31ecd504c9f1cff3119381e31c9,专利通俗解读/Obsidian工具包的运行资产
patent-disclosure-skill,tools/patent_reader/build_context_anchor.py,8367,0a41de24f626747b8f99972213743446e3c48a8ac8378a8535e8a81f8b6a8de0,MERGED_COPY,components/patent-lawyer-agent/toolkits/patent-reader/tools/patent_reader/build_context_anchor.py,0a41de24f626747b8f99972213743446e3c48a8ac8378a8535e8a81f8b6a8de0,专利通俗解读/Obsidian工具包的运行资产
patent-disclosure-skill,tools/patent_reader/build_patent_canvas.py,6241,b106f5af3c993e1d473b00d5fa34a6f0067891a71be81a841d611d4d1bece042,MERGED_COPY,components/patent-lawyer-agent/toolkits/patent-reader/tools/patent_reader/build_patent_canvas.py,b106f5af3c993e1d473b00d5fa34a6f0067891a71be81a841d611d4d1bece042,专利通俗解读/Obsidian工具包的运行资产
patent-disclosure-skill,tools/patent_reader/check_obsidian_env.py,6529,2a6b7fb41f5c6ad0d048fe6b931d079dd9b61a98215619c2a1cfbf1ed362449c,MERGED_COPY,components/patent-lawyer-agent/toolkits/patent-reader/tools/patent_reader/check_obsidian_env.py,2a6b7fb41f5c6ad0d048fe6b931d079dd9b61a98215619c2a1cfbf1ed362449c,专利通俗解读/Obsidian工具包的运行资产
patent-disclosure-skill,tools/patent_reader/clue_vault.py,63192,d0ad25462fbd95bd79d6c80b017b387bf644c41ecfdfc1253451b517c5dccc25,MERGED_COPY,components/patent-lawyer-agent/toolkits/patent-reader/tools/patent_reader/clue_vault.py,d0ad25462fbd95bd79d6c80b017b387bf644c41ecfdfc1253451b517c5dccc25,专利通俗解读/Obsidian工具包的运行资产
patent-disclosure-skill,tools/patent_reader/common.py,28054,2ec291d801f30b56cfd9c062ee80811aa55ebe1bb56a812a24efe49ffd4a34b3,MERGED_COPY,components/patent-lawyer-agent/toolkits/patent-reader/tools/patent_reader/common.py,2ec291d801f30b56cfd9c062ee80811aa55ebe1bb56a812a24efe49ffd4a34b3,专利通俗解读/Obsidian工具包的运行资产
patent-disclosure-skill,tools/patent_reader/desc_paragraphs.py,13281,b7b8706df395260d19dc4044560acba3198bc79ff9c3bec5168f653e8e77d668,MERGED_COPY,components/patent-lawyer-agent/toolkits/patent-reader/tools/patent_reader/desc_paragraphs.py,b7b8706df395260d19dc4044560acba3198bc79ff9c3bec5168f653e8e77d668,专利通俗解读/Obsidian工具包的运行资产
patent-disclosure-skill,tools/patent_reader/extract_patent_figures.py,2722,335574fc7ad7f2d11bfe2d590e2384ec436e0708f600159d8917ef8ab5e846bc,MERGED_COPY,components/patent-lawyer-agent/toolkits/patent-reader/tools/patent_reader/extract_patent_figures.py,335574fc7ad7f2d11bfe2d590e2384ec436e0708f600159d8917ef8ab5e846bc,专利通俗解读/Obsidian工具包的运行资产
patent-disclosure-skill,tools/patent_reader/extract_patent_text.py,13484,7cb848331ed737b7db58eb74abbff247a525c236537458944bf1558615306520,MERGED_COPY,components/patent-lawyer-agent/toolkits/patent-reader/tools/patent_reader/extract_patent_text.py,7cb848331ed737b7db58eb74abbff247a525c236537458944bf1558615306520,专利通俗解读/Obsidian工具包的运行资产
patent-disclosure-skill,tools/patent_reader/fetch_patent_pdf.py,10722,54b4af609e1980b1e6014b85b0b5a483eaa37389180699cd71898aaa12d7616e,MERGED_COPY,components/patent-lawyer-agent/toolkits/patent-reader/tools/patent_reader/fetch_patent_pdf.py,54b4af609e1980b1e6014b85b0b5a483eaa37389180699cd71898aaa12d7616e,专利通俗解读/Obsidian工具包的运行资产
patent-disclosure-skill,tools/patent_reader/figure_extract.py,19310,bcbd958f29d1c23a10b431152e3e756b283e85f62a7dd9bfff504c72b51465ff,MERGED_COPY,components/patent-lawyer-agent/toolkits/patent-reader/tools/patent_reader/figure_extract.py,bcbd958f29d1c23a10b431152e3e756b283e85f62a7dd9bfff504c72b51465ff,专利通俗解读/Obsidian工具包的运行资产
patent-disclosure-skill,tools/patent_reader/link_patent_notes.py,4180,0c5b6929a7bde2dcfa5ffbba2f21879e309f675c792ceccf2051465b01840f70,MERGED_COPY,components/patent-lawyer-agent/toolkits/patent-reader/tools/patent_reader/link_patent_notes.py,0c5b6929a7bde2dcfa5ffbba2f21879e309f675c792ceccf2051465b01840f70,专利通俗解读/Obsidian工具包的运行资产
patent-disclosure-skill,tools/patent_reader/lint_patent_note.py,8729,12e42e3052d19c516df924a7bf5626d99e9251b453289ae5c75e3904e1259e4a,MERGED_COPY,components/patent-lawyer-agent/toolkits/patent-reader/tools/patent_reader/lint_patent_note.py,12e42e3052d19c516df924a7bf5626d99e9251b453289ae5c75e3904e1259e4a,专利通俗解读/Obsidian工具包的运行资产
patent-disclosure-skill,tools/patent_reader/materialize_public_clues.py,7256,cd6eb1812c6666ea84bf5bf24dc10d6db0d68ec719edfacf8c5374c9cee2025b,MERGED_COPY,components/patent-lawyer-agent/toolkits/patent-reader/tools/patent_reader/materialize_public_clues.py,cd6eb1812c6666ea84bf5bf24dc10d6db0d68ec719edfacf8c5374c9cee2025b,专利通俗解读/Obsidian工具包的运行资产
patent-disclosure-skill,tools/patent_reader/note_cites.py,14765,8f379fb5a9b8a8403cfd229da5ccad69bf3e77ed23eac76057f21002ebe9e16e,MERGED_COPY,components/patent-lawyer-agent/toolkits/patent-reader/tools/patent_reader/note_cites.py,8f379fb5a9b8a8403cfd229da5ccad69bf3e77ed23eac76057f21002ebe9e16e,专利通俗解读/Obsidian工具包的运行资产
patent-disclosure-skill,tools/patent_reader/obsidian.py,79120,b7bc9585473ec88083d5d4842d168003746415e968806b7346e8e6f2c74a30b1,MERGED_COPY,components/patent-lawyer-agent/toolkits/patent-reader/tools/patent_reader/obsidian.py,b7bc9585473ec88083d5d4842d168003746415e968806b7346e8e6f2c74a30b1,专利通俗解读/Obsidian工具包的运行资产
patent-disclosure-skill,tools/patent_reader/patent_link.py,28727,31a9585b61f50a0f498e51266c9f71d102ba96c9204fe388876848e63b711bdc,MERGED_COPY,components/patent-lawyer-agent/toolkits/patent-reader/tools/patent_reader/patent_link.py,31a9585b61f50a0f498e51266c9f71d102ba96c9204fe388876848e63b711bdc,专利通俗解读/Obsidian工具包的运行资产
patent-disclosure-skill,tools/patent_reader/requirements.txt,82,3086defdc5ef825ee302e786c691fed077ae35af6e65521a540fca5b81012c71,MERGED_COPY,components/patent-lawyer-agent/toolkits/patent-reader/tools/patent_reader/requirements.txt,3086defdc5ef825ee302e786c691fed077ae35af6e65521a540fca5b81012c71,专利通俗解读/Obsidian工具包的运行资产
patent-disclosure-skill,tools/patent_reader/setup_obsidian_vault.py,2495,b7741188d3a8a14577e9e3d5649c9235ecf03ec92b8d621b220f83d6e57eb8f8,MERGED_COPY,components/patent-lawyer-agent/toolkits/patent-reader/tools/patent_reader/setup_obsidian_vault.py,b7741188d3a8a14577e9e3d5649c9235ecf03ec92b8d621b220f83d6e57eb8f8,专利通俗解读/Obsidian工具包的运行资产
patent-disclosure-skill,tools/patent_reader/validate_claim_tree.py,3777,d5fc89f080b48008639300c261d5e978c5e53ebe6ab3f8c67bda534fc9578258,MERGED_COPY,components/patent-lawyer-agent/toolkits/patent-reader/tools/patent_reader/validate_claim_tree.py,d5fc89f080b48008639300c261d5e978c5e53ebe6ab3f8c67bda534fc9578258,专利通俗解读/Obsidian工具包的运行资产
patent-disclosure-skill,tools/patent_reader/validate_public_clues.py,6166,13e8ac0726ce7f4bfc86d67ffa7f3d2c889f7c65397af629cbdc9414d0036c70,MERGED_COPY,components/patent-lawyer-agent/toolkits/patent-reader/tools/patent_reader/validate_public_clues.py,13e8ac0726ce7f4bfc86d67ffa7f3d2c889f7c65397af629cbdc9414d0036c70,专利通俗解读/Obsidian工具包的运行资产
patent-disclosure-skill,tools/patent_reader/write_patent_obsidian_note.py,44083,a01b8d7c61ed29c9875425810bab4f94d0381540d13cfbeaec2efd7b498a1eac,MERGED_COPY,components/patent-lawyer-agent/toolkits/patent-reader/tools/patent_reader/write_patent_obsidian_note.py,a01b8d7c61ed29c9875425810bab4f94d0381540d13cfbeaec2efd7b498a1eac,专利通俗解读/Obsidian工具包的运行资产
patent-disclosure-skill,tools/pptx_to_md.py,5193,c21def55a7ab7a0ccc6bbd46df9667038b576fec056108476cf9998040d8ca63,TRASH,,,交底流程及脚本与现行P2重复且版本更旧，或属于安装/说明冗余
patent-disclosure-skill,tools/requirements-cnipa.txt,161,bd319ef78f40b0409d6563a8a15a214ad9e3e24a5dd6ff39aa00796b17949dce,TRASH,,,交底流程及脚本与现行P2重复且版本更旧，或属于安装/说明冗余
patent-mining-expert,SKILL.md,10920,4a9f650a5e0bd9c6a8b5f3ed283a3703bf8c2a338884dee055d9ebffe19c5d7a,MERGED_DISTILLED,references/mining-methods.md,,只提炼TRIZ和创新点视角，禁止补造实验数据
patent-mining-expert,_meta.json,113,c75b06dc063b67381fdfc8771ea2a06ba783df2512094e35d9a7f0b6143f7914,TRASH,,,与P2重复、通用整理/制图脚本价值低，部分流程存在补造数据风险
patent-mining-expert,assets/chart_style.json,1418,4c98e69e329d0ec52a166c739e411795992de6e58bca24b4ee6c2e649029d9f7,TRASH,,,与P2重复、通用整理/制图脚本价值低，部分流程存在补造数据风险
patent-mining-expert,assets/patent_template.md,7251,88421ab6980de96fcb554a13b62a564bde9799c364747eaf86a9b35fd14a475d,TRASH,,,与P2重复、通用整理/制图脚本价值低，部分流程存在补造数据风险
patent-mining-expert,references/chart_templates.md,10754,9dcdce3617f2e96b9a4c677a9392883779efb01ae5b4a8f80eb06c1c11e3c3bb,TRASH,,,与P2重复、通用整理/制图脚本价值低，部分流程存在补造数据风险
patent-mining-expert,references/ipc_classification.md,8804,236161536ab6d43784292252d0565554218e451b84542eb88d4f7d67ce4034d0,TRASH,,,与P2重复、通用整理/制图脚本价值低，部分流程存在补造数据风险
patent-mining-expert,references/writing_guidelines.md,8595,32c9e365c30d1d7c458b1449d50620ff7a2c2f77caa747f064514453ea3bede3,TRASH,,,与P2重复、通用整理/制图脚本价值低，部分流程存在补造数据风险
patent-mining-expert,scripts/generate_charts.py,10454,e23f20ec55893d17f6b62df1a231295ad67f9116402d9ca0fdc72a00ccaca33f,TRASH,,,与P2重复、通用整理/制图脚本价值低，部分流程存在补造数据风险
patent-mining-expert,scripts/organize_files.py,6859,12f4800cc1a7ce9286c79590f2778a9cfd3c60bef2c844a8e7a584c9a0f63e1a,TRASH,,,与P2重复、通用整理/制图脚本价值低，部分流程存在补造数据风险
patent-mining-expert,scripts/patent_search.py,4380,abf6d245f93fbdac2aaaa813fc60cd3b5ade53159f4bce8347c4b0836eb0c8b2,TRASH,,,与P2重复、通用整理/制图脚本价值低，部分流程存在补造数据风险
patent-review,SKILL.md,9530,daf61b33571e395aab9099f376df46fd018d161200e5bc60b3c85cfdc492c961,MERGED_DISTILLED,checking-patdocx-cn-single-agent/参考/claim-reference-chain-method.md,,只提炼逐路径引用链方法，剔除绝对化禁用词和未经核验规则
patent-review,_meta.json,106,4fb53e09c3e395187db180eedaf239d23c47c81f7d4517ea4194c8a0d1b52e5a,TRASH,,,与独立核稿技能重复，旧转换脚本和输出模板不再使用
